Iteration: χI = 3.0026153562202653; χS = 1.1874569887725674; χE = 0.8597373220048364; λ = 1.1014793762634514; ν = 0.049571021869942555
; ζ = 0.39963187350037815; κ = 0.20572257364451155; sFromS = 0.11225822288780081; sFromE = 0.063088603995464
Iteration: χI = 3.0026335385308953; χS = 1.187464179364277; χE = 0.8597425281050308; λ = 1.1014793762634514; ν = 0.049571021869942555
; ζ = 0.39963187350037815; κ = 0.20572257364451155; sFromS = 0.11225822288780081; sFromE = 0.063088603995464
Iteration: χI = 3.0026335385308953; χS = 1.1874497981808578; χE = 0.859732115904642; λ = 1.1014793762634514; ν = 0.049571021869942555
; ζ = 0.39963187350037815; κ = 0.20572257364451155; sFromS = 0.11225822288780081; sFromE = 0.063088603995464
Iteration: χI = 3.0026335385308953; χS = 1.1874569887725674; χE = 0.8597445125965462; λ = 1.1014793762634514; ν = 0.049571021869942555
; ζ = 0.39963187350037815; κ = 0.20572257364451155; sFromS = 0.11225822288780081; sFromE = 0.063088603995464
Iteration: χI = 3.0026335385308953; χS = 1.1874569887725674; χE = 0.8597301314131267; λ = 1.1014793762634514; ν = 0.049571021869942555
; ζ = 0.39963187350037815; κ = 0.20572257364451155; sFromS = 0.11225822288780081; sFromE = 0.063088603995464
Iteration: χI = 3.0026335385308953; χS = 1.1874569887725674; χE = 0.8597373220048364; λ = 1.1014860462216447; ν = 0.049571021869942555
; ζ = 0.39963187350037815; κ = 0.20572257364451155; sFromS = 0.11225822288780081; sFromE = 0.063088603995464
Iteration: χI = 3.0026335385308953; χS = 1.1874569887725674; χE = 0.8597373220048364; λ = 1.101472706305258; ν = 0.049571021869942555
; ζ = 0.39963187350037815; κ = 0.20572257364451155; sFromS = 0.11225822288780081; sFromE = 0.063088603995464
Iteration: χI = 3.0026335385308953; χS = 1.1874569887725674; χE = 0.8597373220048364; λ = 1.1014793762634514; ν = 0.049577077324394946
; ζ = 0.39963187350037815; κ = 0.20572257364451155; sFromS = 0.11225822288780081; sFromE = 0.063088603995464
Iteration: χI = 3.0026335385308953; χS = 1.1874569887725674; χE = 0.8597373220048364; λ = 1.1014793762634514; ν = 0.049564966415490165
; ζ = 0.39963187350037815; κ = 0.20572257364451155; sFromS = 0.11225822288780081; sFromE = 0.063088603995464
Iteration: χI = 3.0026335385308953; χS = 1.1874569887725674; χE = 0.8597373220048364; λ = 1.1014793762634514; ν = 0.049571021869942555
; ζ = 0.3996379289548305; κ = 0.20572257364451155; sFromS = 0.11225822288780081; sFromE = 0.063088603995464
Iteration: χI = 3.0026335385308953; χS = 1.1874569887725674; χE = 0.8597373220048364; λ = 1.1014793762634514; ν = 0.049571021869942555
; ζ = 0.3996258180459258; κ = 0.20572257364451155; sFromS = 0.11225822288780081; sFromE = 0.063088603995464
Iteration: χI = 3.0026335385308953; χS = 1.1874569887725674; χE = 0.8597373220048364; λ = 1.1014793762634514; ν = 0.049571021869942555
; ζ = 0.39963187350037815; κ = 0.20572862909896394; sFromS = 0.11225822288780081; sFromE = 0.063088603995464
Iteration: χI = 3.0026335385308953; χS = 1.1874569887725674; χE = 0.8597373220048364; λ = 1.1014793762634514; ν = 0.049571021869942555
; ζ = 0.39963187350037815; κ = 0.20571651819005915; sFromS = 0.11225822288780081; sFromE = 0.063088603995464
Iteration: χI = 3.0026335385308953; χS = 1.1874569887725674; χE = 0.8597373220048364; λ = 1.1014793762634514; ν = 0.049571021869942555
; ζ = 0.39963187350037815; κ = 0.20572257364451155; sFromS = 0.11226427834225321; sFromE = 0.063088603995464
Iteration: χI = 3.0026335385308953; χS = 1.1874569887725674; χE = 0.8597373220048364; λ = 1.1014793762634514; ν = 0.049571021869942555
; ζ = 0.39963187350037815; κ = 0.20572257364451155; sFromS = 0.11225216743334841; sFromE = 0.063088603995464
Iteration: χI = 3.0026335385308953; χS = 1.1874569887725674; χE = 0.8597373220048364; λ = 1.1014793762634514; ν = 0.049571021869942555
; ζ = 0.39963187350037815; κ = 0.20572257364451155; sFromS = 0.11225822288780081; sFromE = 0.0630946594499164
